Healthy	Unhealthy	Background_Blue	Background_Dark
72,131,39	141,125,66		
71,130,36	144,128,69		
72,132,36	143,128,69		
73,133,37	145,129,70		
83,149,39	145,126,68		
89,153,41	146,130,94		
89,155,45	147,131,97		
88,156,47	147,133,98		
87,153,45	150,136,101		
77,144,38	150,136,99		
74,141,35	140,126,89		
73,140,35	143,130,86		
72,139,34	148,136,88		
72,139,33	148,136,86		
81,137,48	144,133,79		
82,138,49	117,117,43		
75,134,42	116,116,42		
73,132,38	113,115,40		
72,131,37	110,114,40		
84,151,38	106,110,36		
91,155,45	100,109,88		
90,156,46	103,115,95		
88,154,44	103,115,95		
84,152,39	99,111,89		
77,144,38	95,108,82		
74,141,35	140,125,68		
72,139,34	143,128,71		
71,138,33	143,131,71		
71,138,32	146,131,72		
81,137,48	144,128,69		
84,140,51	152,136,100		
79,138,46	155,139,105		
75,134,40	156,140,104		
72,131,37	156,140,104		
85,151,41	155,137,99		
94,158,48	138,125,90		
91,157,47	144,131,89		
87,153,43	151,138,93		
82,150,37	151,141,92		
76,143,37	146,136,83		
75,142,37	115,116,40		
74,141,36	117,118,42		
71,140,34	115,117,42		
70,139,33	111,115,39		
78,134,47	104,110,36		
80,136,49	95,104,85		
79,135,44	101,113,93		
73,132,38	100,113,93		
70,129,37	96,109,89		
89,153,43	97,111,86		
93,157,47	143,128,73		
88,154,44	143,128,71		
84,150,40	142,130,72		
81,149,36	143,128,69		
77,144,38	140,123,67		
77,144,39	153,137,101		
76,143,38	152,136,100		
72,141,35	150,135,96		
70,139,33	152,137,98		
75,131,44	151,136,95		
77,133,46	137,124,90		
77,133,42	147,133,94		
70,129,35	153,138,95		
67,126,34	147,136,90		
92,155,50	144,134,83		
90,154,44	115,116,40		
85,151,41	118,119,43		
82,148,38	117,119,44		
82,150,37	113,115,40		
76,143,38	109,113,37		
75,142,37	103,112,93		
73,142,36	105,117,97		
69,138,32	101,114,94		
67,135,32	95,108,90		
99,156,59	100,114,91		
96,156,58	146,131,76		
94,156,57	148,131,79		
92,154,55	145,128,72		
88,153,53	143,126,70		
96,156,58	141,124,70		
95,157,60	153,138,99		
95,157,60	153,138,99		
90,154,57	153,138,99		
87,152,52	155,140,99		
